epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,4290.34,1.04606,0.53461,1.07752,0.91069,0.78656,0.84943,0.53661,1.2837,0.6293,1.23534,0.000569375,0.000569375,0.000569375
57,4366.72,1.05102,0.53868,1.08048,0.86564,0.85551,0.87372,0.52722,1.31447,0.63192,1.25665,0.000557,0.000557,0.000557
58,4443.13,1.04547,0.53792,1.08351,0.90253,0.80985,0.86706,0.54404,1.2675,0.61155,1.25137,0.000544625,0.000544625,0.000544625
59,4519.84,1.03977,0.53498,1.08271,0.86068,0.84608,0.86711,0.55064,1.27733,0.62014,1.23624,0.00053225,0.00053225,0.00053225
60,4596.54,1.0431,0.53323,1.08212,0.89092,0.81342,0.86352,0.53164,1.32719,0.64842,1.25646,0.000519875,0.000519875,0.000519875
61,4673.06,1.0463,0.53368,1.08496,0.88889,0.83168,0.88048,0.55252,1.2557,0.60068,1.2197,0.0005075,0.0005075,0.0005075
62,4749.69,1.03745,0.52779,1.07514,0.85151,0.82682,0.86234,0.53904,1.25238,0.60887,1.25243,0.000495125,0.000495125,0.000495125
63,4826.16,1.02117,0.52489,1.06682,0.88569,0.81087,0.86017,0.52912,1.35149,0.63408,1.29134,0.00048275,0.00048275,0.00048275
64,4902.65,1.01952,0.52073,1.06719,0.85339,0.84472,0.86587,0.54648,1.28465,0.60705,1.27412,0.000470375,0.000470375,0.000470375
65,4979.07,1.00843,0.52046,1.06347,0.91414,0.82223,0.86802,0.531,1.34413,0.63498,1.26843,0.000458,0.000458,0.000458
66,5055.55,0.9995,0.51818,1.05736,0.87989,0.88395,0.8855,0.54825,1.27818,0.60245,1.24508,0.000445625,0.000445625,0.000445625
67,5132.04,1.01248,0.51901,1.06654,0.86125,0.85381,0.86518,0.52598,1.36878,0.63696,1.2808,0.00043325,0.00043325,0.00043325
68,5208.52,1.00612,0.51062,1.06359,0.89298,0.82983,0.87787,0.5433,1.28664,0.61541,1.27569,0.000420875,0.000420875,0.000420875
69,5285.01,0.9914,0.51173,1.05489,0.90812,0.82541,0.87822,0.56674,1.21302,0.59484,1.24058,0.0004085,0.0004085,0.0004085
70,5361.64,0.98919,0.50832,1.05588,0.85884,0.84307,0.86042,0.54188,1.29691,0.62931,1.26662,0.000396125,0.000396125,0.000396125
71,5438.21,0.99828,0.51375,1.06099,0.89348,0.83166,0.8721,0.54053,1.30994,0.60034,1.2698,0.00038375,0.00038375,0.00038375
72,5514.71,0.97659,0.50283,1.05205,0.83377,0.85106,0.84676,0.52529,1.36014,0.63731,1.29206,0.000371375,0.000371375,0.000371375
73,5591.23,0.98055,0.50588,1.04874,0.85835,0.83174,0.86697,0.54755,1.29039,0.60572,1.27898,0.000359,0.000359,0.000359
74,5667.76,0.98425,0.50858,1.05362,0.91093,0.84812,0.89559,0.56715,1.27435,0.58794,1.26134,0.000346625,0.000346625,0.000346625
75,5744.44,0.98601,0.50722,1.0524,0.89347,0.86249,0.89635,0.56339,1.24225,0.59362,1.25035,0.00033425,0.00033425,0.00033425
76,5820.92,0.96863,0.49497,1.0493,0.87627,0.85734,0.89307,0.57525,1.24335,0.58742,1.2133,0.000321875,0.000321875,0.000321875
77,5897.59,0.96659,0.5026,1.04588,0.88679,0.83337,0.88058,0.55014,1.28197,0.60634,1.26039,0.0003095,0.0003095,0.0003095
78,5973.98,0.94955,0.49091,1.03502,0.87073,0.871,0.88712,0.56628,1.23232,0.57814,1.23794,0.000297125,0.000297125,0.000297125
79,6050.53,0.96489,0.50019,1.04785,0.86328,0.84832,0.87763,0.55449,1.28497,0.59375,1.26613,0.00028475,0.00028475,0.00028475
80,6127.09,0.94256,0.48893,1.02531,0.92436,0.82841,0.88357,0.55563,1.29173,0.60786,1.26544,0.000272375,0.000272375,0.000272375
81,6203.55,0.94285,0.48876,1.03098,0.87975,0.87156,0.883,0.56907,1.2468,0.58268,1.24317,0.00026,0.00026,0.00026
82,6279.98,0.94504,0.48783,1.03124,0.88793,0.84681,0.88382,0.54307,1.32751,0.61165,1.31984,0.000247625,0.000247625,0.000247625
83,6356.45,0.93903,0.48225,1.02768,0.87937,0.86559,0.886,0.56023,1.26186,0.5892,1.26353,0.00023525,0.00023525,0.00023525
84,6432.88,0.92767,0.4836,1.02812,0.88152,0.84211,0.88482,0.55833,1.25894,0.58135,1.24546,0.000222875,0.000222875,0.000222875
85,6509.29,0.93163,0.4847,1.02856,0.92048,0.82966,0.88532,0.55847,1.25705,0.60338,1.27498,0.0002105,0.0002105,0.0002105
86,6585.75,0.93304,0.48545,1.02961,0.88103,0.87691,0.89537,0.56565,1.24479,0.59159,1.26627,0.000198125,0.000198125,0.000198125
87,6662.27,0.92748,0.48253,1.02678,0.92283,0.83834,0.89244,0.56133,1.28742,0.59567,1.27234,0.00018575,0.00018575,0.00018575
88,6738.72,0.92151,0.47682,1.02051,0.86149,0.8759,0.89001,0.56415,1.25917,0.59224,1.25967,0.000173375,0.000173375,0.000173375
89,6815.13,0.91732,0.47713,1.02001,0.93367,0.83463,0.89437,0.56933,1.25597,0.58612,1.27345,0.000161,0.000161,0.000161
