epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
183,21508.5,0.73317,0.38091,0.90335,0.92662,0.89904,0.92979,0.63052,1.05762,0.47371,1.01575,3.70683e-05,3.70683e-05,3.70683e-05
184,21625.9,0.72364,0.37635,0.90401,0.92668,0.89254,0.9284,0.63066,1.05324,0.47472,1.01828,3.44301e-05,3.44301e-05,3.44301e-05
185,21743.4,0.72215,0.37782,0.90152,0.90989,0.90998,0.9305,0.63117,1.05359,0.47409,1.01369,3.19392e-05,3.19392e-05,3.19392e-05
186,21860.7,0.73029,0.38053,0.90488,0.92185,0.90867,0.93101,0.63386,1.05068,0.47282,1.01907,2.95961e-05,2.95961e-05,2.95961e-05
187,21978.3,0.71405,0.37503,0.90444,0.91917,0.90903,0.93224,0.63235,1.05405,0.47041,1.01811,2.74015e-05,2.74015e-05,2.74015e-05
188,22095.9,0.72269,0.37499,0.90664,0.92894,0.90148,0.93257,0.6354,1.05844,0.47106,1.01397,2.53559e-05,2.53559e-05,2.53559e-05
189,22213.6,0.72255,0.37642,0.9066,0.92765,0.90254,0.92967,0.63327,1.05635,0.47088,1.01362,2.34598e-05,2.34598e-05,2.34598e-05
190,22331,0.72369,0.37824,0.90471,0.92103,0.90758,0.93093,0.63429,1.05909,0.47284,1.01495,2.17136e-05,2.17136e-05,2.17136e-05
191,22449.3,0.73956,0.38061,0.88281,0.91014,0.90601,0.92437,0.61307,1.11343,0.494,1.03487,2.01178e-05,2.01178e-05,2.01178e-05
192,22566.9,0.72356,0.37442,0.87768,0.9171,0.9011,0.92341,0.61784,1.09464,0.48244,1.03852,1.86729e-05,1.86729e-05,1.86729e-05
193,22684.1,0.71861,0.37344,0.87733,0.9272,0.89425,0.92281,0.61452,1.09035,0.48396,1.0469,1.7379e-05,1.7379e-05,1.7379e-05
194,22801.3,0.69868,0.36623,0.86951,0.91328,0.90009,0.92178,0.61663,1.07952,0.48234,1.04619,1.62367e-05,1.62367e-05,1.62367e-05
195,22918.7,0.71143,0.36934,0.87578,0.90939,0.9061,0.92643,0.62277,1.08219,0.48058,1.04491,1.5246e-05,1.5246e-05,1.5246e-05
196,23036,0.70166,0.36456,0.87308,0.9044,0.9052,0.9263,0.61932,1.08593,0.47981,1.0469,1.44074e-05,1.44074e-05,1.44074e-05
197,23153.2,0.70322,0.36554,0.87122,0.92192,0.89483,0.92502,0.6223,1.08282,0.47995,1.04575,1.3721e-05,1.3721e-05,1.3721e-05
198,23270.5,0.7018,0.36412,0.87561,0.92118,0.90154,0.92499,0.6228,1.08282,0.47974,1.04796,1.31869e-05,1.31869e-05,1.31869e-05
199,23387.8,0.70497,0.36693,0.87813,0.91005,0.90338,0.92513,0.62357,1.08006,0.47774,1.04777,1.28053e-05,1.28053e-05,1.28053e-05
200,23505.1,0.69942,0.3637,0.87093,0.91264,0.90349,0.92352,0.62165,1.08071,0.47962,1.04667,1.25763e-05,1.25763e-05,1.25763e-05
